name,address,management,postal
ABC Brickworks Market & Food Centre ,"Blk 6, Jalan Bukit Merah, S(150006) ",Tanjong Pagar Town Council ,150006
Adam Food Centre ,"2, Adam Road, S(289876) ",NEA ,289876
Albert Centre Market & Food Centre ,"Blk 270, Queen Street, S(180270) ",Jalan Besar Town Council ,180270
Alexandra Village Food Centre ,"Blk 120, Bukit Merah Lane 1, S(150120) ",Tanjong Pagar Town Council ,150120
Amoy Street Food Centre ,"National Development Building, Annex B, Telok Ayer Street, S(069111) ",NEA ,069111
Bedok Food Centre ,"1, Bedok Road, S(469572) ",NEA ,469572
Beo Crescent Market ,"38A, Beo Crescent, S(169982) ",NEA ,169982
Berseh Food Centre ,"166, Jalan Besar, S(208877) ",NEA ,208877
Blk 1 Jalan Kukoh ,"Blk 1, Jalan Kukoh, S(161001) ",Jalan Besar Town Council ,161001
Blk 105 Hougang Ave 1 ,"Blk 105, Hougang Ave 1, S(530105) ",Aljunied - Hougang Town Council ,530105
Blk 11 Telok Blangah Crescent ,"Blk 11, Telok Blangah Crescent, S(090011) ",Tanjong Pagar Town Council ,090011
Blk 112 Jalan Bukit Merah ,"Blk 112, Jalan Bukit Merah, S(160112) ",Tanjong Pagar Town Council ,160112
Blk 115 Bukit Merah View ,"Blk 115, Bukit Merah View, S(151115) ",Tanjong Pagar Town Council ,151115
Blk 117 Aljunied Ave 2 ,"Blk 117, Aljunied Ave 2, S(380117) ",Marine Parade Town Council ,380117
Blk 127 Toa Payoh Lorong 1 ,"Blk 127, Lorong 1 Toa Payoh, S(310127) ",Bishan - Toa Payoh Town Council ,310127
Blk 137 Tampines Street 11 ,"Blk 137, Tampines Street 11, S(521137) ",Tampines Town Council ,521137
Blk 159 Mei Chin Road ,"Blk 159, Mei Chin Road, S(140159) ",Tanjong Pagar Town Council ,140159
Blk 16 Bedok South Road ,"Blk 16, Bedok South Road, S(460016) ",East Coast Town Council ,460016
Blk 163 Bukit Merah Central ,"Blk 163, Bukit Merah Central, S(150163) ",Tanjong Pagar Town Council ,150163
Blk 17 Upper Boon Keng Road ,"Blk 17, Upper Boon Keng Road, S(380017) ",Jalan Besar Town Council ,380017
Blk 20 Ghim Moh Road ,"Blk 20, Ghim Moh Road, S(270020) ",Holland - Bukit Panjang Town Council ,270020
Blk 208B New Upper Changi Road # ,"Blk 208B, New Upper Changi Road, S(462208) ",East Coast Town Council ,462208
Blk 210 Toa Payoh Lorong 8 ,"Blk 210, Lorong 8 Toa Payoh, S(310210) ",Bishan - Toa Payoh Town Council ,310210
Blk 216 Bedok North Street 1 ,"Blk 216, Bedok North Street 1, S(460216) ",East Coast Town Council ,460216
Blk 22 Toa Payoh Lorong 7 ,"Blk 22, Lorong 7 Toa Payoh, S(310022) ",Bishan - Toa Payoh Town Council ,310022
Blk 226D Ang Mo Kio Ave 1 ,"Blk 226D, Ang Mo Kio Ave 1, S(564226) ",Ang Mo Kio Town Council ,564226
Blk 226H Ang Mo Kio Street 22 ,"Blk 226H, Ang Mo Kio Street 22, S(568226) ",Ang Mo Kio Town Council ,568226
Blk 254 Jurong East Street 24 ,"Blk 254, Jurong East Street 24, S(600254) ",Jurong - Clementi Town Council ,600254
Blk 29 Bendemeer Road ,"Blk 29, Bendemeer Road, S(330029) ",Jalan Besar Town Council ,330029
Blk 320 Shunfu Road ,"Blk 320, Shunfu Road, S(570320) ",Bishan - Toa Payoh Town Council ,570320
Blk 341 Ang Mo Kio Ave 1 ,"Blk 341, Ang Mo Kio Ave 1, S(560341) ",Ang Mo Kio Town Council ,560341
Blk 347 Jurong East Ave 1 ,"Blk 347, Jurong East Ave 1, S(600347) ",Jurong - Clementi Town Council ,600347
Blk 353 Clementi Ave 2 ,"Blk 353, Clementi Ave 2, S(120353) ",Jurong - Clementi Town Council ,120353
Blk 36 Telok Blangah Rise ,"Blk 36, Telok Blangah Rise, S(090036) ",Tanjong Pagar Town Council ,090036
Blk 37A Teban Gardens Road ,"Blk 37A, Teban Gardens Road, S(601037) ",West Coast Town Council ,601037
Blk 409 Ang Mo Kio Ave 10 ,"Blk 409, Ang Mo Kio Ave 10, S(560409) ",Ang Mo Kio Town Council ,560409
Blk 44 Holland Drive ,"Blk 44, Holland Drive, S(270044) ",Tanjong Pagar Town Council ,270044
Blk 448 Clementi Ave 3 ,"Blk 448, Clementi Ave 3, S(120448) ",Jurong - Clementi Town Council ,120448
Blk 453A Ang Mo Kio Ave 10 ,"Blk 453A, Ang Mo Kio Ave 10, S(561453) ",Ang Mo Kio Town Council ,561453
Blk 49 Sims Place ,"Blk 49, Sims Place, S(380049) ",Jalan Besar Town Council ,380049
Blk 4A Eunos Crescent ,"Blk 4A, Eunos Crescent, S(402004) ",Marine Parade Town Council ,402004
Blk 4A Jalan Batu ,"Blk 4A, Jalan Batu, S(432004) ",Marine Parade Town Council ,432004
Blk 502 West Coast Drive ,"Blk 502, West Coast Drive, S(120502) ",West Coast Town Council ,120502
Blk 503 West Coast Drive ,"Blk 503, West Coast Drive, S(120503) ",West Coast Town Council ,120503
Blk 505 Jurong West Street 52 ,"Blk 505, Jurong West Street 52, S(640505) ",Jurong - Clementi Town Council ,640505
Blk 50A Marine Terrace ,"Blk 50A, Marine Terrace, S(441050) ",Marine Parade Town Council ,441050
Blk 51 Old Airport Road # ,"Blk 51, Old Airport Road, S(390051) ",Marine Parade Town Council ,390051
Blk 511 Bedok North Street 3 ,"Blk 511, Bedok North Street 3, S(460511) ",Aljunied - Hougang Town Council ,460511
Blk 527 Ang Mo Kio Ave 10 ,"Blk 527, Ang Mo Kio Ave 10, S(560527) ",Ang Mo Kio Town Council ,560527
Blk 538 Bedok North Street 3 ,"Blk 538, Bedok North Street 3, S(460538) ",Aljunied - Hougang Town Council ,460538
Blk 58 New Upper Changi Road ,"Blk 58, New Upper Changi Road, S(461058) ",East Coast Town Council ,461058
Blk 6 Tanjong Pagar Plaza ,"Blk 6, Tanjong Pagar Plaza, S(081006) ",Tanjong Pagar Town Council ,081006
Blk 628 Ang Mo Kio Ave 4 ,"Blk 628, Ang Mo Kio Ave 4, S(560628) ",Ang Mo Kio Town Council ,560628
Blk 630 Bedok Reservoir Road ,"Blk 630, Bedok Reservoir Road, S(470630) ",Aljunied - Hougang Town Council ,470630
Blk 69 Geylang Bahru ,"Blk 69, Geylang Bahru, S(330069) ",Jalan Besar Town Council ,330069
Blk 7 Empress Road ,"Blk 7, Empress Road, S(260007) ",Holland - Bukit Panjang Town Council ,260007
Blk 724 Ang Mo Kio Ave 6 ,"Blk 724, Ang Mo Kio Ave 6, S(560724) ",Ang Mo Kio Town Council ,560724
Blk 726 Clementi West Street 2 ,"Blk 726, Clementi West Street 2, S(120726) ",West Coast Town Council ,120726
Blk 74 Toa Payoh Lorong 4 ,"Blk 74, Lorong 4 Toa Payoh, S(310074) ",Bishan - Toa Payoh Town Council ,310074
Blk 75 Toa Payoh Lorong 5 # ,"Blk 75, Lorong 5 Toa Payoh, S(310075) ",Bishan - Toa Payoh Town Council ,310075
Blk 79 Redhill Lane ,"Blk 79, Redhill Lane, S(150079) ",Tanjong Pagar Town Council ,150079
Blk 79 Telok Blangah Drive ,"Blk 79, Telok Blangah Drive, S(100079) ",West Coast Town Council ,100079
Blk 80 Circuit Road ,"Blk 80, Circuit Road, S(370080) ",Marine Parade Town Council ,370080
Blk 82 Telok Blangah Drive ,"Blk 82, Telok Blangah Drive, S(100082) ",West Coast Town Council ,100082
Blk 84 Marine Parade Central ,"Blk 84, Marine Parade Central, S(440084) ",Marine Parade Town Council ,440084
Blk 85 Bedok North Street 4 ,"Blk 85, Bedok North Street 4, S(460085) ",East Coast Town Council ,460085
Blk 85 Redhill Lane ,"Blk 85, Redhill Lane, S(150085) ",Tanjong Pagar Town Council ,150085
Blk 89 Circuit Road ,"Blk 89, Circuit Road, S(370089) ",Marine Parade Town Council ,370089
Blk 90 Whampoa Drive # ,"Blk 90, Whampoa Drive, S(320090) ",Jalan Besar Town Council ,320090
Blk 93 Toa Payoh Lorong 4 ,"Blk 93, Lorong 4 Toa Payoh, S(310093) ",Bishan - Toa Payoh Town Council ,310093
Blks 13/14 Haig Road ,"Blks 13/14, Haig Road, S(430013/430014) ",Marine Parade Town Council ,430013
Blks 160/162 Ang Mo Kio Ave 4 ,"Blks 160/162, Ang Mo Kio Ave 4, S(560160/560162) ",Ang Mo Kio Town Council ,560160
Blks 2 & 3 Changi Village Road ,"Blks 2/3, Changi Village Road, S(500002/500003) ",East Coast Town Council ,500002
Blks 20/21 Marsiling Lane ,"Blks 20/21, Marsiling Lane, S(730020/730021) ",Marsiling - Yew Tee Town Council ,730020
Blks 221A/B Boon Lay Place ,"Blks 221A/B, Boon Lay Place, S(641221/642221) ",West Coast Town Council ,641221
Blks 22A/B Havelock Road ,"Blks 22A/B, Havelock Road, S(161022/162022) ",Jalan Besar Town Council ,161022
Blks 79/79A Circuit Road ,"Blks 79/79A, Circuit Road, S(370079/371079) ",Marine Parade Town Council ,370079
Blks 91/92 Whampoa Drive # ,"Blks 91/92, Whampoa Drive, S(320091/320092) ",Jalan Besar Town Council ,320091
Bukit Canberra Hawker Centre ,"21, Canberra Link, S(756973) ",Canopy Hawkers Group Pte Ltd ,756973
Bukit Panjang Hawker Centre & Market ,"2, Bukit Panjang Ring Road, S(679947) ",FairPrice Group Hawker Centre Pte Ltd ,679947
Bukit Timah Market ,"51, Upper Bukit Timah Road, S(588215) ",NEA ,588215
Chinatown Market ,"Blk 335, Smith Street, S(050335) ",Jalan Besar Town Council ,050335
Chomp Chomp Food Centre ,"20, Kensington Park Road, S(557269) ",NEA ,557269
Chong Pang Market & Food Centre # ,"Blks 104/105, Yishun Ring Road, S(760104/760105) ",Nee Soon Town Council ,760104
Ci Yuan Hawker Centre ,"51, Hougang Ave 9, S(538776) ",Fei Siong Social Enterprise Pte Ltd ,538776
Commonwealth Crescent Market ,"31, Commonwealth Crescent, S(149644) ",NEA ,149644
Dunman Food Centre ,"271, Onan Road, S(424768) ",NEA ,424768
East Coast Lagoon Food Village ,"1220, East Coast Parkway, S(468960) ",NEA ,468960
Fernvale Hawker Centre and Market ,"21, Sengkang West Avenue, S(797650) ",FairPrice Group Hawker Centre Pte Ltd ,797650
Geylang Serai Market ,"Geylang Serai, S(402001) ",NEA ,402001
Golden Mile Food Centre ,"505, Beach Road, S(199583) ",NEA ,199583
Hawker Centre @ Our Tampines Hub ,"1 Tampines Walk, S(528523) ",FairPrice Group Hawker Centre Pte Ltd ,528523
Holland Village Market & Food Centre ,"1, Lorong Mambong, S(277700) ",NEA ,277700
Hong Lim Market & Food Centre ,"Blk 531A, Upper Cross Street, S(051531) ",Jalan Besar Town Council ,051531
Jurong West Hawker Centre ,"50, Jurong West Street 61, S(648202) ",Not in operation until further notice ,648202
Kallang Estate Market ,"17, Old Airport Road, S(397972) ",NEA ,397972
Kampung Admiralty Hawker Centre ,"Blk 676, Woodlands Drive 71, #02-44, S(730676) ",FairPrice Group Hawker Centre Pte Ltd ,730676
Kovan Market & Food Centre ,"Blk 209, Hougang Street 21, S(530209) ",Aljunied - Hougang Town Council ,530209
Margaret Drive Hawker Centre ,"38A, Margaret Drive, S(142038) ",NEA ,142038
Market Street Hawker Centre ,"86, Market Street, CapitaSpring Building, S(048947) ",NEA ,048947
Marsiling Mall Hawker Centre ,"4, Woodlands Street 12, S (738623) ",NEA ,738623
Maxwell Food Centre ,"1, Kadayanallur Street, S(069184) ",NEA ,069184
Newton Food Centre ,"500, Clemenceau Ave North, S(229495) ",NEA ,229495
North Bridge Road Market & Food Centre ,"861, North Bridge Road, S(198783) ",NEA ,198783
One Punggol Hawker Centre ,"1, Punggol Drive, S(828629) ",Timbre+ Hawkers Pte Ltd ,828629
Pasir Panjang Food Centre ,"121, Pasir Panjang Road, S(118543) ",NEA ,118543
Pasir Ris Central Hawker Centre ,"110, Pasir Ris Central, S(519641) ",FairPrice Group Hawker Centre Pte Ltd ,519641
Pek Kio Market & Food Centre ,"Blk 41A, Cambridge Road, S(211041) ",Tanjong Pagar Town Council ,211041
People's Park Food Centre ,"Blk 32, New Market Road, S(050032) ",Jalan Besar Town Council ,050032
Sembawang Hills Food Centre ,"590, Upper Thomson Road, S(574419) ",NEA ,574419
Senja Hawker Centre ,"2, Senja Close, S(677632) ",FairPrice Group Hawker Centre Pte Ltd ,677632
Serangoon Garden Market ,"49A, Serangoon Garden Way, S(555945) ",NEA ,555945
Taman Jurong Market & Food Centre ,"3, Yung Sheng Road, S(618499) ",NEA ,618499
Tanglin Halt Market ,"48A, Tanglin Halt Road, S(148813) ",NEA ,148813
Tekka Market ,"Blk 665, Buffalo Road, S(210665) ",Tanjong Pagar Town Council ,210665
Tiong Bahru Market ,"30, Seng Poh Road, S(168898) ",NEA ,168898
Yishun Park Hawker Centre ,"51, Yishun Avenue 11, S(768867) ",Timbre+ Hawkers Pte Ltd ,768867
Zion Riverside Food Centre ,"70, Zion Road, S(247792) ",NEA ,247792
